user_id,seguidores,impressoes,alcance,engajamentos,taxa_engajamento,alcance_efetivo,clusters,Perfil
1176472762,210701.0,49426.5556,45556.1111,2398.2222,0.0377,0.2162,1,Macro
1204966031,41777.0,4756.0,3965.6667,524.8333,0.0557,0.0949,0,Micro
13653638,53537.0,2997.1538,2687.1538,168.6154,0.0435,0.0502,0,Micro
1450913752,45769.0,1043.381,924.381,66.6667,0.0451,0.0202,0,Micro
145162974,78231.0,3382.3077,3151.2308,251.4615,0.0436,0.0403,0,Micro
1498873356,50958.0,2152.8667,1726.2,202.4,0.0804,0.0339,2,Micro
1521378283,25327.0,2356.2083,2177.5694,104.4028,0.0441,0.086,0,Micro
1529832621,42974.0,1126.9,1016.5,53.9,0.0366,0.0237,0,Micro
15716007,26852.0,3752.1667,3529.8333,154.1667,0.0219,0.1315,1,Micro
1604188568,86312.0,6075.0,5445.7778,249.5556,0.0249,0.0631,0,Micro
1638902154,95612.0,3480.1429,3043.2857,204.1429,0.0462,0.0318,0,Micro
1744103885,65400.0,6590.2766,6616.7447,112.8936,0.0056,0.1012,1,Micro
18109969,44225.0,5423.6875,4755.9375,242.8125,0.0411,0.1075,0,Micro
181878821,17842.0,651.9038,572.7885,36.3462,0.0462,0.0321,0,Micro
189447875,60094.0,22943.95,21707.75,996.45,0.0404,0.3612,1,Micro
19697281,57535.0,1501.3333,1374.3333,87.3889,0.0412,0.0239,0,Micro
209097976,23808.0,1165.625,1026.3125,86.9375,0.0513,0.0431,0,Micro
210006779,20033.0,1150.4808,1028.5769,65.0962,0.0479,0.0513,0,Micro
2158329156,84188.0,6122.5,5298.3,394.9,0.0439,0.0629,0,Micro
2187274228,62937.0,6173.375,5485.125,350.0,0.0222,0.0872,0,Micro
2241607812,104965.0,471.5745,428.5319,114.4833,0.0649,0.0041,2,Macro
25641230,126310.0,3566.6857,3237.9714,124.4571,0.0341,0.0256,0,Macro
260466469,144620.0,6350.5333,5843.4,183.2333,0.027,0.0404,0,Macro
263814164,141237.0,10298.2619,9102.9048,448.381,0.0376,0.0645,0,Macro
270856277,23048.0,1765.3004,1601.8072,98.991,0.0723,0.0695,2,Micro
28183893,43906.0,7813.3333,6868.3636,217.9394,0.0264,0.1564,1,Micro
2906057492,80379.0,10192.2273,9258.0455,527.4318,0.0448,0.1152,0,Micro
3037397365,726266.0,34590.0741,29264.5556,980.7778,0.0229,0.0403,0,Macro
3042278288,82476.0,21712.3448,18857.1034,680.7586,0.0305,0.2286,1,Micro
30569880,46321.0,5219.5,4592.375,331.5,0.056,0.0991,0,Micro
3162575758,42788.0,2545.6744,2282.8605,140.2093,0.0364,0.0534,0,Micro
34455238,13799.0,1370.5,1166.0,110.3,0.0711,0.0845,2,Micro
3494148,29100.0,5543.3889,4885.7222,310.8333,0.0403,0.1679,1,Micro
3964246894,91051.0,4928.4261,4535.5739,216.2509,0.0356,0.0498,0,Micro
403311642,73970.0,4561.8168,4296.4474,154.3784,0.0305,0.0581,0,Micro
4087565556,13931.0,1531.1,1430.16,77.44,0.0538,0.1027,0,Micro
426247756,22086.0,697.0,1081.25,79.75,0.0897,0.049,2,Micro
4781300131,123252.0,11415.0,10496.2,485.14,0.037,0.0852,0,Macro
5530023354,26249.0,3799.065,3412.7616,165.9876,0.0409,0.13,0,Micro
5660644,75317.0,10494.1429,9441.4286,727.0,0.043,0.1254,0,Micro
6078080383,68219.0,3303.381,2973.5238,170.4762,0.0395,0.0436,0,Micro
6151684822,138692.0,18613.0294,16126.4412,754.0882,0.0396,0.1163,0,Macro
6935362151,44076.0,5061.5135,4490.8649,256.7027,0.0427,0.1019,0,Micro
7125032346,141867.0,21387.1245,19623.5436,791.6266,0.0406,0.1383,1,Macro
7454510,46055.0,3454.25,3032.5,194.125,0.0455,0.0658,0,Micro
7476817164,159273.0,15255.9444,13705.4444,737.1667,0.0448,0.0861,0,Macro
768868959,26584.0,6737.6667,6342.6667,346.0,0.0411,0.2386,1,Micro
7810333570,15023.0,693.6667,582.3333,42.1111,0.0435,0.0388,0,Micro
8408615711,131349.0,21095.9048,19626.4286,793.8571,0.0306,0.1494,1,Macro
8767542355,44717.0,1917.9478,1751.3433,79.2239,0.0386,0.0392,0,Micro
945824750,40884.0,1161.3077,1047.3077,88.7692,0.0382,0.0256,0,Micro
